"symb","open_time","high","low","close","volume","close_time","quote_asset_vol","num_trades","takerbuy_baseasset_vol","takerbuy_quoteasset_vol"
"BTCUSDT","2020-12-16T00:00:00.000000Z",21560.0,19278.600000000002,21335.52,114306.33557000001,"2020-12-16T23:59:59.999999Z",2.3251359586418414E9,1659135,61245.262375,1.245917122172021E9
"BTCUSDT","2020-12-17T00:00:00.000000Z",23800.0,21230.0,22797.16,184882.476748,"2020-12-17T23:59:59.999999Z",4.1966455674258766E9,2795084,92409.40507899999,2.097021808629566E9
"BTCUSDT","2020-12-18T00:00:00.000000Z",23285.18,22350.0,23107.39,79646.134315,"2020-12-18T23:59:59.999999Z",1.8208753612945976E9,1613775,38359.302158,8.772968895114685E8
"BTCUSDT","2020-12-19T00:00:00.000000Z",24171.47,22750.0,23821.61,86045.064677,"2020-12-19T23:59:59.999999Z",2.0189698788868675E9,1678611,42709.111498,1.0021055388592924E9
"BTCUSDT","2020-12-20T00:00:00.000000Z",24295.0,23060.0,23455.52,76690.145685,"2020-12-20T23:59:59.999999Z",1.8108620747303078E9,1743225,37124.115357999995,8.771669366057342E8
"BTCUSDT","2020-12-21T00:00:00.000000Z",24102.77,21815.0,22719.71,88030.297243,"2020-12-21T23:59:59.999999Z",2.0354462939289708E9,1593949,41983.046103,9.714171846896443E8
"BTCUSDT","2020-12-22T00:00:00.000000Z",23837.100000000002,22353.4,23810.79,87033.12616000001,"2020-12-22T23:59:59.999999Z",2.010758620243527E9,1496277,42681.326708,9.864286727376071E8
"BTCUSDT","2020-12-23T00:00:00.000000Z",24100.0,22600.0,23232.760000000002,119047.259733,"2020-12-23T23:59:59.999999Z",2.797688007071879E9,2194611,56660.201961,1.3323586102684052E9
"BTCUSDT","2020-12-24T00:00:00.000000Z",23794.43,22703.420000000002,23729.2,69013.834252,"2020-12-24T23:59:59.999999Z",1.6023942440767715E9,1421257,35789.111318999996,8.314842116986718E8
"BTCUSDT","2020-12-25T00:00:00.000000Z",24789.86,23433.600000000002,24712.47,79519.943569,"2020-12-25T23:59:59.999999Z",1.9197663166677368E9,1504426,41219.088164,9.952159445725682E8
"BTCUSDT","2020-12-26T00:00:00.000000Z",26867.03,24500.0,26493.39,97806.51338599999,"2020-12-26T23:59:59.999999Z",2.4965330651755805E9,1735574,49839.034071999995,1.2722795298870606E9
"BTCUSDT","2020-12-27T00:00:00.000000Z",28422.0,25700.0,26281.66,148455.58621399998,"2020-12-27T23:59:59.999999Z",4.028928683882025E9,2438493,72649.340484,1.9726354861835063E9
"BTCUSDT","2020-12-28T00:00:00.000000Z",27500.0,26101.0,27079.41,79721.74249599999,"2020-12-28T23:59:59.999999Z",2.1518068085743527E9,1508204,37895.345621,1.0230610293655895E9
"BTCUSDT","2020-12-29T00:00:00.000000Z",27410.0,25880.0,27385.0,69411.59260599999,"2020-12-29T23:59:59.999999Z",1.8516172197682343E9,1605166,34276.922601,9.149543208347603E8
"BTCUSDT","2020-12-30T00:00:00.000000Z",28996.0,27320.0,28875.54,95356.05782599999,"2020-12-30T23:59:59.999999Z",2.683953237460271E9,1916095,48057.906365999996,1.3528773596514735E9
"BTCUSDT","2020-12-31T00:00:00.000000Z",29300.0,27850.0,28923.63,75508.505152,"2020-12-31T23:59:59.999999Z",2.173600125420074E9,1552793,36431.62208,1.0493891435562063E9
"BTCUSDT","2021-01-01T00:00:00.000000Z",29600.0,28624.57,29331.690000000002,54182.925011,"2021-01-01T23:59:59.999999Z",1.5825269891618726E9,1314910,27455.801724999998,8.02247744545104E8
"BTCUSDT","2021-01-02T00:00:00.000000Z",33300.0,28946.53,32178.33,129993.873362,"2021-01-02T23:59:59.999999Z",4.0738421636715407E9,2245922,67446.305246,2.1103347238871455E9
"BTCUSDT","2021-01-03T00:00:00.000000Z",34778.11,31962.99,33000.05,120957.56675000001,"2021-01-03T23:59:59.999999Z",4.057598425492016E9,2369698,59750.332871,2.004428433931846E9
"BTCUSDT","2021-01-04T00:00:00.000000Z",33600.0,28130.0,31988.71,140899.88569000002,"2021-01-04T23:59:59.999999Z",4.429010349695345E9,2642408,69088.46923,2.173435409016988E9
"BTCUSDT","2021-01-05T00:00:00.000000Z",34360.0,29900.0,33949.53,116049.997038,"2021-01-05T23:59:59.999999Z",3.743617144646915E9,2526851,59691.754754999994,1.9271950936415496E9
"BTCUSDT","2021-01-06T00:00:00.000000Z",36939.21,33288.0,36769.36,127139.20131,"2021-01-06T23:59:59.999999Z",4.431954248519614E9,2591783,63052.914652,2.199632470221549E9
"BTCUSDT","2021-01-07T00:00:00.000000Z",40365.0,36300.0,39432.28,132825.700437,"2021-01-07T23:59:59.999999Z",5.06256994338337E9,2814686,65055.107136,2.4825832398564973E9
"BTCUSDT","2021-01-08T00:00:00.000000Z",41950.0,36500.0,40582.81,139789.95749899998,"2021-01-08T23:59:59.999999Z",5.568443208731365E9,2925632,67300.155216,2.6849754459789047E9
"BTCUSDT","2021-01-09T00:00:00.000000Z",41380.0,38720.0,40088.22,75785.979675,"2021-01-09T23:59:59.999999Z",3.054779029161776E9,1998156,37007.321909,1.4919907055516992E9
"BTCUSDT","2021-01-10T00:00:00.000000Z",41350.0,35111.11,38150.020000000004,118209.544503,"2021-01-10T23:59:59.999999Z",4.604034729507071E9,2628050,55451.344673,2.1609768968280272E9
