Date,Close
2020-12-01T00:00:00.000000Z,1000
2020-12-02T00:00:00.000000Z,938.54
2020-12-03T00:00:00.000000Z,964.35
2020-12-04T00:00:00.000000Z,981.63
2020-12-05T00:00:00.000000Z,896.07
2020-12-06T00:00:00.000000Z,942.47
2020-12-07T00:00:00.000000Z,955.83
2020-12-08T00:00:00.000000Z,940.69
2020-12-09T00:00:00.000000Z,878.01
2020-12-10T00:00:00.000000Z,906.05
2020-12-11T00:00:00.000000Z,882.58
2020-12-12T00:00:00.000000Z,858.56
2020-12-13T00:00:00.000000Z,875.31
2020-12-14T00:00:00.000000Z,908.99
2020-12-15T00:00:00.000000Z,902.2
2020-12-16T00:00:00.000000Z,895.85
2020-12-17T00:00:00.000000Z,985.3
2020-12-18T00:00:00.000000Z,990.77
2020-12-19T00:00:00.000000Z,1006.58
2020-12-20T00:00:00.000000Z,1014.2
2020-12-21T00:00:00.000000Z,991.72
2020-12-22T00:00:00.000000Z,933.07
2020-12-23T00:00:00.000000Z,946.59
2020-12-24T00:00:00.000000Z,811.43
2020-12-25T00:00:00.000000Z,883.29
2020-12-26T00:00:00.000000Z,900.01
2020-12-27T00:00:00.000000Z,903.43
2020-12-28T00:00:00.000000Z,935.63
2020-12-29T00:00:00.000000Z,984.66
2020-12-30T00:00:00.000000Z,980.77
2020-12-31T00:00:00.000000Z,987.33
2021-01-01T00:00:00.000000Z,988.72
2021-01-02T00:00:00.000000Z,982.41
2021-01-03T00:00:00.000000Z,1024.97
2021-01-04T00:00:00.000000Z,1216.72
2021-01-05T00:00:00.000000Z,1266.16
2021-01-06T00:00:00.000000Z,1326.29
2021-01-07T00:00:00.000000Z,1477.31
2021-01-08T00:00:00.000000Z,1491.55
2021-01-09T00:00:00.000000Z,1474.19
2021-01-10T00:00:00.000000Z,1565.25
2021-01-11T00:00:00.000000Z,1534.29
2021-01-12T00:00:00.000000Z,1338.67
2021-01-13T00:00:00.000000Z,1309.91
2021-01-14T00:00:00.000000Z,1425.33
2021-01-15T00:00:00.000000Z,1530.21
2021-01-16T00:00:00.000000Z,1466.28
2021-01-17T00:00:00.000000Z,1553.5
2021-01-18T00:00:00.000000Z,1569.44
2021-01-19T00:00:00.000000Z,1597.8
2021-01-20T00:00:00.000000Z,1663.4
2021-01-21T00:00:00.000000Z,1685.66
2021-01-22T00:00:00.000000Z,1401.1
2021-01-23T00:00:00.000000Z,1534.92
2021-01-24T00:00:00.000000Z,1556.89
2021-01-25T00:00:00.000000Z,1676.46
2021-01-26T00:00:00.000000Z,1603.05
2021-01-27T00:00:00.000000Z,1640.0
2021-01-28T00:00:00.000000Z,1496.02
2021-01-29T00:00:00.000000Z,1610.82
2021-01-30T00:00:00.000000Z,1655.48
2021-01-31T00:00:00.000000Z,1714.32
2021-02-01T00:00:00.000000Z,1662.19
2021-02-02T00:00:00.000000Z,1711.6
2021-02-03T00:00:00.000000Z,1825.62
2021-02-04T00:00:00.000000Z,1991.31
2021-02-05T00:00:00.000000Z,1944.64
2021-02-06T00:00:00.000000Z,2111.91
2021-02-07T00:00:00.000000Z,2087.27
2021-02-08T00:00:00.000000Z,2033.06
2021-02-09T00:00:00.000000Z,2203.98
2021-02-10T00:00:00.000000Z,2287.92
2021-02-11T00:00:00.000000Z,2351.0
2021-02-12T00:00:00.000000Z,2426.83
2021-02-13T00:00:00.000000Z,2568.34
2021-02-14T00:00:00.000000Z,2596.01
2021-02-15T00:00:00.000000Z,2529.21
2021-02-16T00:00:00.000000Z,2496.14
2021-02-17T00:00:00.000000Z,2502.6
2021-02-18T00:00:00.000000Z,2629.6
2021-02-19T00:00:00.000000Z,2715.68
2021-02-20T00:00:00.000000Z,2910.66
2021-02-21T00:00:00.000000Z,2844.99
2021-02-22T00:00:00.000000Z,2921.81
2021-02-23T00:00:00.000000Z,2736.31
2021-02-24T00:00:00.000000Z,2398.2
2021-02-25T00:00:00.000000Z,2475.38
2021-02-26T00:00:00.000000Z,2303.77
2021-02-27T00:00:00.000000Z,2296.8
2021-02-28T00:00:00.000000Z,2356.1
2021-03-01T00:00:00.000000Z,2292.89
2021-03-02T00:00:00.000000Z,2503.12
2021-03-03T00:00:00.000000Z,2428.49
2021-03-04T00:00:00.000000Z,2513.52
2021-03-05T00:00:00.000000Z,2448.8
2021-03-06T00:00:00.000000Z,2424.85
2021-03-07T00:00:00.000000Z,2510.2
2021-03-08T00:00:00.000000Z,2613.9
2021-03-09T00:00:00.000000Z,2715.74
2021-03-10T00:00:00.000000Z,2849.01
